test
Iter,alpha,theta,kappa,log(sigma_z),log(lambda),mu_x,log(sigma_x),log(mu_z)
4818,0.09238986,0.037764445,-0.037737165,-1.6232027,-4.0343285,-3.1374195,0.6646894,1.6046064
4819,0.09234236,0.03771983,-0.037821665,-1.6453378,-4.043187,-3.132764,0.66454005,1.613492
4820,0.09249463,0.037777573,-0.037788313,-1.6389067,-4.038486,-3.114031,0.6489302,1.6112181
4821,0.09238044,0.037707534,-0.037907865,-1.6391629,-4.049344,-3.1264513,0.636617,1.6221147
4822,0.09242853,0.03768291,-0.037724935,-1.6209832,-4.053345,-3.1247723,0.62899905,1.627459
4823,0.09239276,0.037832662,-0.037840884,-1.6283343,-4.035557,-3.1302865,0.64289016,1.624843
4824,0.09222222,0.037969347,-0.03782844,-1.619775,-4.0344505,-3.1279862,0.6324127,1.6262062
4825,0.09230722,0.037887685,-0.037840173,-1.6170182,-4.0306582,-3.1211007,0.6195392,1.6103464
4826,0.09247542,0.03810719,-0.037896674,-1.6251692,-4.029995,-3.1366978,0.6157961,1.5965774
4827,0.09251455,0.038197882,-0.037836857,-1.6141164,-4.0319777,-3.1417172,0.5959639,1.5952673
4828,0.09242454,0.03823255,-0.037880573,-1.6162233,-4.0215316,-3.1496408,0.5890088,1.5797153
4829,0.09236285,0.038356114,-0.037773434,-1.6116096,-4.0246205,-3.143256,0.5898709,1.5848333
4830,0.092277385,0.03835347,-0.037910182,-1.6234746,-4.014264,-3.130169,0.5971452,1.578225
4831,0.09223174,0.038396053,-0.037890196,-1.5842509,-4.0058126,-3.1349347,0.5933081,1.569882
4832,0.09210776,0.038448025,-0.03769445,-1.5832065,-4.0126767,-3.108379,0.58917624,1.5658439
4833,0.09188314,0.038611874,-0.03758525,-1.5930564,-4.008339,-3.11182,0.58221257,1.5869819
4834,0.09178886,0.038606994,-0.037714414,-1.5953093,-4.00855,-3.1139822,0.58039576,1.5971079
4835,0.09167377,0.038316406,-0.037547544,-1.5948493,-4.01669,-3.1175067,0.58853555,1.5970656
4836,0.09169671,0.038320333,-0.03747655,-1.5907217,-4.0276656,-3.117297,0.5689553,1.5992777
4837,0.091834515,0.038319677,-0.03753339,-1.603125,-4.027989,-3.1342268,0.5819106,1.5886649
4838,0.09181535,0.03835993,-0.037503704,-1.5926998,-4.0350275,-3.1477077,0.5828952,1.5958169
4839,0.09185594,0.038412288,-0.037553865,-1.576978,-4.041656,-3.141208,0.5846824,1.5959718
4840,0.091974355,0.038477484,-0.03740855,-1.5816298,-4.0335603,-3.1311388,0.5891739,1.6014477
4841,0.09203193,0.038449682,-0.03737211,-1.5799372,-4.012017,-3.119405,0.5932571,1.5942876
4842,0.09188495,0.038484164,-0.037432324,-1.5825356,-4.0074315,-3.122495,0.5703874,1.6051475
4843,0.09199359,0.038580656,-0.03743851,-1.5849088,-4.0018263,-3.1314669,0.5783224,1.6122549
4844,0.09198637,0.038670745,-0.03727628,-1.5871289,-3.999296,-3.127636,0.575606,1.6073599
4845,0.09200569,0.03876488,-0.037363723,-1.5860786,-3.9959877,-3.1158645,0.5544245,1.604877
4846,0.09204335,0.038694922,-0.037425127,-1.5673422,-3.9866939,-3.1258929,0.55999637,1.6123914
4847,0.09194105,0.038613614,-0.03738233,-1.5610265,-3.9783304,-3.120548,0.5724123,1.6083952
4848,0.09217956,0.038456466,-0.037327368,-1.562952,-3.9746037,-3.124876,0.5688107,1.617308
4849,0.09217698,0.0384768,-0.03732433,-1.5547777,-3.9819405,-3.1208177,0.56786156,1.6173258
4850,0.09221672,0.03845203,-0.037369702,-1.5431535,-3.9925463,-3.1404717,0.58330977,1.6199775
4851,0.09233675,0.038378723,-0.03741083,-1.5169623,-3.978957,-3.1343665,0.5749476,1.6064925
4852,0.09231473,0.038594455,-0.037300747,-1.514747,-3.9754865,-3.1388803,0.58235544,1.6154872
4853,0.09203077,0.038557835,-0.037122715,-1.5210749,-3.9774203,-3.12723,0.59716004,1.6195766
4854,0.0920264,0.038587134,-0.037073087,-1.5243247,-3.9890118,-3.1164532,0.5911495,1.6144509
4855,0.09207649,0.038672775,-0.036949832,-1.5286784,-3.987353,-3.115706,0.57093126,1.613576
4856,0.09211287,0.038637668,-0.036982592,-1.5371479,-3.98787,-3.1147099,0.5988199,1.6048498
4857,0.092278935,0.038705785,-0.03699048,-1.5494072,-3.9874628,-3.1182287,0.59345233,1.6133977
4858,0.092400335,0.038792502,-0.037100106,-1.5760475,-3.9859457,-3.1232567,0.5935702,1.6121018
4859,0.0924634,0.038686495,-0.03699679,-1.5769541,-3.9786906,-3.1410139,0.59433866,1.6112493
4860,0.09243628,0.03862781,-0.03691067,-1.576406,-3.9819424,-3.1435716,0.5879617,1.6025691
4861,0.092566036,0.038795847,-0.03701539,-1.5851957,-3.9965112,-3.1513002,0.5928738,1.5953166
4862,0.09239983,0.038794376,-0.036964092,-1.5749476,-3.9960475,-3.1510265,0.5963497,1.5999002
4863,0.09234343,0.03877197,-0.037054252,-1.5633919,-3.988029,-3.1449475,0.5998904,1.5978404
4864,0.092319064,0.038755424,-0.036943633,-1.57056,-3.9886377,-3.1401691,0.59633434,1.5937024
4865,0.0923878,0.038812123,-0.03693224,-1.573711,-3.979123,-3.146057,0.5710112,1.6005639
4866,0.09230525,0.038760975,-0.037072316,-1.5843707,-3.978746,-3.1332765,0.57610846,1.5878694
4867,0.09243103,0.03898994,-0.037053052,-1.598783,-3.9695766,-3.1135895,0.58861667,1.5837168
4868,0.092583686,0.039188307,-0.03709737,-1.6022085,-3.9625378,-3.1213193,0.5875162,1.5867401
4869,0.09258877,0.039115533,-0.036986526,-1.6112499,-3.9585938,-3.136755,0.59361094,1.5712012
4870,0.09279526,0.03912855,-0.036985643,-1.6151506,-3.9578953,-3.1421256,0.58271176,1.5714158
4871,0.092792325,0.039143763,-0.037034515,-1.641402,-3.9621542,-3.139366,0.5795166,1.5692081
4872,0.09283339,0.039169487,-0.036983036,-1.640237,-3.9442213,-3.128001,0.5927315,1.5727863
4873,0.09284012,0.039143134,-0.03719192,-1.6483749,-3.9350657,-3.1377363,0.58289385,1.5734725
4874,0.092810735,0.039204028,-0.037226684,-1.6440787,-3.923511,-3.1553967,0.5936681,1.5659591
4875,0.092838116,0.039373267,-0.037235733,-1.6493905,-3.9165292,-3.131999,0.5870915,1.5639397
4876,0.092885815,0.039438378,-0.037158463,-1.658132,-3.9222655,-3.1337373,0.5953492,1.556739
4877,0.092705496,0.0393456,-0.037146572,-1.6638887,-3.9165473,-3.1363895,0.5906769,1.5521772
4878,0.09270846,0.03915007,-0.037225418,-1.681694,-3.9136891,-3.1474469,0.5913228,1.5606203
4879,0.09277216,0.039040115,-0.037182767,-1.6704884,-3.9172375,-3.173336,0.5932438,1.55507
4880,0.092830315,0.039126262,-0.03720734,-1.6741244,-3.9060183,-3.1610844,0.6030407,1.5432922
4881,0.09293027,0.039168715,-0.037277814,-1.6801715,-3.885761,-3.1696658,0.59688807,1.5532756
4882,0.0929259,0.039010573,-0.03740893,-1.6722213,-3.8706276,-3.1648335,0.5993512,1.5426803
4883,0.09289898,0.039040934,-0.03736519,-1.6760776,-3.8669329,-3.154598,0.6103104,1.5527204
4884,0.0926938,0.039278463,-0.0372821,-1.6740655,-3.8597136,-3.1473715,0.59177303,1.5511972
4885,0.09263675,0.039451785,-0.037235156,-1.6739764,-3.8576348,-3.1564622,0.5833758,1.5578218
4886,0.092590235,0.039364852,-0.037189253,-1.6616546,-3.8639705,-3.1570284,0.57945794,1.5540743
4887,0.09244511,0.039390977,-0.037340164,-1.6623205,-3.86887,-3.1643207,0.59287494,1.532613
4888,0.0923592,0.039467312,-0.037416857,-1.6649607,-3.8568778,-3.1754646,0.5860584,1.5251065
4889,0.09240126,0.03931878,-0.037618667,-1.6576674,-3.8463352,-3.1868806,0.5750407,1.5124613
4890,0.09240602,0.039317887,-0.037669785,-1.662533,-3.8513613,-3.204025,0.5683999,1.516113
4891,0.0924982,0.039575804,-0.037701644,-1.64432,-3.8505986,-3.2047148,0.58206433,1.5257816
4892,0.09248421,0.039464545,-0.037887674,-1.6453514,-3.8392138,-3.1965683,0.57434964,1.5343246
4893,0.09262134,0.039477333,-0.038047925,-1.6239845,-3.8462405,-3.2054195,0.5710626,1.536674
4894,0.09267054,0.039405674,-0.037924416,-1.6344352,-3.8447106,-3.199731,0.58103263,1.547162
4895,0.09253562,0.03955947,-0.037831463,-1.649153,-3.8430429,-3.1950197,0.57849866,1.5509477
4896,0.092535876,0.039732937,-0.037963618,-1.6496716,-3.839725,-3.2067485,0.58249635,1.5497252
4897,0.09234356,0.03974554,-0.037897326,-1.637549,-3.8338835,-3.1975076,0.5916218,1.5477091
4898,0.09224584,0.039811976,-0.038069624,-1.634869,-3.840439,-3.2041457,0.60017145,1.5469033
4899,0.09216789,0.03979258,-0.03803299,-1.6393732,-3.8477802,-3.210284,0.60657674,1.5502261
4900,0.09220491,0.039819196,-0.037926327,-1.6405017,-3.8421795,-3.233506,0.60414886,1.5613561
4901,0.09217112,0.03990767,-0.037970267,-1.6471243,-3.8527784,-3.229569,0.6220525,1.5610534
4902,0.09221723,0.03996471,-0.03788906,-1.6374475,-3.8386242,-3.2233515,0.6163474,1.5574574
4903,0.091884814,0.040084213,-0.03799001,-1.6296076,-3.846125,-3.2245393,0.61667645,1.5507134
4904,0.09207264,0.04002029,-0.037968326,-1.6434754,-3.8547914,-3.226601,0.62107676,1.5404203
4905,0.092166476,0.03989265,-0.038030237,-1.6558361,-3.8602524,-3.2246747,0.6365908,1.5198699
4906,0.09214871,0.039904587,-0.038103268,-1.6466222,-3.8618984,-3.2081978,0.6535774,1.5098721
4907,0.09208819,0.0398604,-0.038091082,-1.6363319,-3.871285,-3.1872344,0.64380485,1.5009663
4908,0.09196402,0.040012576,-0.038103674,-1.6418955,-3.8570335,-3.1740963,0.6610223,1.492032
4909,0.09194484,0.039998278,-0.038090747,-1.6295979,-3.8529675,-3.1566553,0.65748256,1.4826379
4910,0.092071675,0.040116422,-0.037926465,-1.6142818,-3.8464727,-3.140643,0.6631529,1.5045145
4911,0.09199848,0.039936997,-0.037895173,-1.6044891,-3.84829,-3.1401653,0.66150594,1.4966378
4912,0.09213185,0.039802965,-0.037876178,-1.5949144,-3.8480413,-3.1472473,0.67227733,1.4976467
4913,0.09213256,0.039926935,-0.037842207,-1.6064677,-3.8477147,-3.167071,0.67930883,1.5040592
4914,0.09217878,0.0399556,-0.03796771,-1.6023989,-3.8264685,-3.1667922,0.6908054,1.4961478
4915,0.092351414,0.039833147,-0.03808263,-1.6076806,-3.8313446,-3.1598823,0.6948262,1.5019025
4916,0.09239724,0.039852347,-0.03803759,-1.6154441,-3.8308432,-3.1687295,0.69580066,1.5093257
4917,0.09240944,0.039982058,-0.038038153,-1.6372745,-3.8304787,-3.1828573,0.71982604,1.5036381
4918,0.092479005,0.03986492,-0.03786288,-1.6374849,-3.8333158,-3.1736865,0.740835,1.500744
4919,0.09244056,0.03975333,-0.037837774,-1.6473018,-3.8334813,-3.1608818,0.74838346,1.5048155
4920,0.09235047,0.039739292,-0.03779773,-1.6324604,-3.8291347,-3.160108,0.7465095,1.5202391
4921,0.09233265,0.039825387,-0.037746694,-1.6188142,-3.8296242,-3.1629028,0.7654792,1.5150384
4922,0.09230582,0.03968783,-0.037737343,-1.6271259,-3.8442833,-3.1553888,0.7731954,1.5237067
4923,0.09238791,0.03961777,-0.037795883,-1.6281364,-3.8622477,-3.165988,0.78861576,1.5243341
4924,0.09244015,0.039486807,-0.038061913,-1.6204675,-3.8709564,-3.161177,0.7925624,1.510242
4925,0.09241237,0.039420858,-0.03817021,-1.6265438,-3.8625538,-3.1698096,0.78525674,1.5020708
4926,0.092467524,0.039380398,-0.03825606,-1.6279603,-3.862891,-3.15658,0.76298153,1.4952285
4927,0.09230475,0.039390706,-0.03830839,-1.6355134,-3.853764,-3.1584888,0.7714083,1.5223438
4928,0.09213374,0.03930529,-0.038284477,-1.6215531,-3.8587537,-3.1687284,0.77168554,1.5318784
4929,0.0922478,0.03943263,-0.038364775,-1.6217765,-3.847337,-3.174133,0.7833083,1.528452
4930,0.092323,0.039436296,-0.038271695,-1.6165333,-3.854912,-3.156309,0.76829433,1.5366222
4931,0.09229641,0.03959607,-0.03830641,-1.6235195,-3.854178,-3.147816,0.7646613,1.5318779
4932,0.092137896,0.03963657,-0.038303945,-1.621619,-3.8590271,-3.1394708,0.7713651,1.5328532
4933,0.09214041,0.03967558,-0.038340118,-1.6337777,-3.841037,-3.1360123,0.77954525,1.554543
4934,0.09211628,0.039682157,-0.038293514,-1.6309165,-3.8361626,-3.1403317,0.80550355,1.5518011
4935,0.092072226,0.03972416,-0.038285572,-1.6318219,-3.8369153,-3.1423168,0.8012945,1.5306811
4936,0.09220375,0.039666984,-0.038225587,-1.6200578,-3.8707922,-3.149544,0.8031607,1.511957
4937,0.09202041,0.03967874,-0.038300127,-1.6186602,-3.8777003,-3.1458318,0.8032813,1.5147432
4938,0.09193586,0.03944202,-0.038312804,-1.628193,-3.8585885,-3.1554544,0.7963436,1.5259924
4939,0.09192455,0.039336815,-0.03809429,-1.6181139,-3.8511512,-3.1502712,0.79379004,1.5199307
4940,0.09195926,0.03909411,-0.0379651,-1.6214223,-3.839974,-3.157779,0.8045505,1.5139925
4941,0.09193671,0.03898935,-0.038099024,-1.6237582,-3.8383017,-3.1778126,0.8200701,1.4980721
4942,0.09205509,0.03896363,-0.0380448,-1.6313958,-3.8457167,-3.1797836,0.8250082,1.5068976
4943,0.09194843,0.038842104,-0.037918773,-1.6337782,-3.8595974,-3.1723998,0.83586216,1.4989825
4944,0.09192228,0.038902126,-0.03790861,-1.6392483,-3.8668203,-3.1660779,0.83693755,1.4908017
4945,0.092021465,0.038740188,-0.037989896,-1.6359565,-3.8840969,-3.1767483,0.8130404,1.4974682
4946,0.09202331,0.038891174,-0.03785289,-1.6274916,-3.8905885,-3.1768646,0.80195934,1.4825809
4947,0.09214764,0.038708724,-0.037722282,-1.6156158,-3.8948495,-3.1789887,0.7879652,1.4784249
4948,0.09206459,0.038670212,-0.037707396,-1.5964707,-3.8805487,-3.172513,0.7910966,1.4677026
4949,0.09203844,0.038616266,-0.037878655,-1.5840969,-3.872748,-3.1672056,0.77794266,1.469103
4950,0.092045784,0.03847199,-0.037984695,-1.5918936,-3.8734765,-3.1708426,0.75645334,1.4764175
4951,0.092111655,0.038566288,-0.038053744,-1.5990831,-3.862297,-3.163766,0.75186735,1.4736339
4952,0.09203557,0.038633544,-0.038086537,-1.594483,-3.8806129,-3.1459513,0.7568778,1.4718201
4953,0.09181138,0.03857613,-0.038165465,-1.5908043,-3.881332,-3.154442,0.7428797,1.469484
4954,0.09183063,0.03869477,-0.038301937,-1.6031494,-3.8655796,-3.1559193,0.7396575,1.4534314
4955,0.09197756,0.038594853,-0.038286023,-1.6105945,-3.8678837,-3.1364467,0.74050236,1.4559433
4956,0.09211492,0.038455624,-0.038164526,-1.6312276,-3.8747602,-3.1364484,0.7559377,1.4553847
4957,0.09219684,0.03839403,-0.038159326,-1.6386852,-3.8604152,-3.153105,0.7550504,1.4475166
4958,0.09214088,0.038553048,-0.03817915,-1.6423577,-3.8568738,-3.158972,0.75491893,1.448056
4959,0.09203744,0.038757317,-0.038200278,-1.624342,-3.8496664,-3.1411457,0.75761396,1.4594989
4960,0.092077374,0.038592704,-0.038536727,-1.6276579,-3.8546252,-3.1336982,0.7622379,1.4643657
4961,0.09208498,0.038655225,-0.038695708,-1.639768,-3.8638425,-3.1405954,0.75502586,1.454845
4962,0.09211408,0.038618524,-0.03871073,-1.6546534,-3.8568473,-3.13742,0.74324864,1.4361893
4963,0.0922256,0.03859488,-0.03877087,-1.6478693,-3.8605132,-3.1433525,0.74429536,1.4464325
4964,0.09207866,0.03856375,-0.038721308,-1.6511817,-3.868012,-3.1464257,0.761076,1.4352236
4965,0.09219087,0.03859105,-0.03862264,-1.6499093,-3.8786933,-3.139105,0.764235,1.4499142
4966,0.09215518,0.038784012,-0.038785186,-1.6614522,-3.879548,-3.136597,0.75275826,1.4508241
4967,0.09215604,0.038932484,-0.038622785,-1.6504838,-3.8817103,-3.1386783,0.75360924,1.4424686
4968,0.09221324,0.039031386,-0.038559005,-1.6554197,-3.8667705,-3.138202,0.7735202,1.4410863
4969,0.09217441,0.039124653,-0.038653035,-1.6687717,-3.859819,-3.139443,0.77634114,1.4543985
4970,0.09216924,0.03938533,-0.038533613,-1.660565,-3.8505368,-3.1452935,0.785636,1.452223
4971,0.09237521,0.039424166,-0.03857641,-1.6646093,-3.8368888,-3.1437016,0.7800274,1.4520969
4972,0.09223616,0.039426643,-0.038547944,-1.6632379,-3.855238,-3.1387908,0.7794536,1.4451045
4973,0.09242263,0.039337695,-0.03853117,-1.6715642,-3.862722,-3.1610904,0.77494985,1.4450513
4974,0.092476234,0.039515525,-0.03857549,-1.6804237,-3.86448,-3.1550465,0.7735871,1.4447753
4975,0.092413805,0.03953358,-0.038697712,-1.6873444,-3.8683257,-3.143814,0.7741722,1.4282146
4976,0.09243445,0.03939209,-0.038641963,-1.7090132,-3.867129,-3.133827,0.7773209,1.4276775
4977,0.09247572,0.03938694,-0.0385928,-1.7144426,-3.8598073,-3.1387942,0.79205954,1.4298854
4978,0.09242341,0.03924055,-0.038872097,-1.7136457,-3.8650382,-3.1383915,0.80053335,1.4194013
4979,0.09245908,0.03927687,-0.03880614,-1.7108747,-3.8760772,-3.136355,0.7880341,1.4269787
4980,0.09255019,0.03934447,-0.038837366,-1.7007064,-3.8818145,-3.1326318,0.79329264,1.4275464
4981,0.09271477,0.039461043,-0.038846113,-1.7047583,-3.8783982,-3.1391046,0.8104281,1.420427
4982,0.09268566,0.039529752,-0.03889975,-1.7069563,-3.8616936,-3.1443195,0.8020859,1.4237351
4983,0.092816494,0.039536852,-0.038835596,-1.6986847,-3.8527253,-3.139967,0.8049307,1.430757
4984,0.0927682,0.039457876,-0.038746633,-1.7028576,-3.8402543,-3.1529148,0.80979794,1.4253354
4985,0.09283026,0.039509173,-0.03882977,-1.720335,-3.8444035,-3.1738222,0.80150527,1.4127241
4986,0.09281073,0.039356526,-0.038775947,-1.720967,-3.8336706,-3.1851523,0.8105727,1.4264507
4987,0.09279576,0.039308004,-0.038918752,-1.7193261,-3.8456721,-3.1790147,0.81867146,1.4339548
4988,0.092916854,0.039409302,-0.038896818,-1.7033005,-3.8555682,-3.1826775,0.84138227,1.4348775
4989,0.09296519,0.039373893,-0.038973313,-1.7081473,-3.8501894,-3.1639462,0.84968615,1.4571588
4990,0.093186446,0.03946059,-0.038986094,-1.7035352,-3.8394434,-3.1691408,0.84228444,1.4564874
4991,0.093347974,0.039297737,-0.038892385,-1.6941407,-3.835329,-3.1767445,0.84185076,1.4492329
4992,0.09339325,0.03941856,-0.038864538,-1.7031602,-3.8578587,-3.174751,0.84743786,1.4499005
4993,0.09352259,0.03944462,-0.03879676,-1.7042276,-3.8505945,-3.1648223,0.8481487,1.4513502
4994,0.093771,0.039433252,-0.039050233,-1.6990585,-3.8449445,-3.1706562,0.8691794,1.4577707
4995,0.09370605,0.039563376,-0.039123762,-1.6870251,-3.8489435,-3.171971,0.8719345,1.4695177
4996,0.09355568,0.03982157,-0.039114837,-1.6820083,-3.8554568,-3.1696634,0.86509466,1.4639591
4997,0.09350977,0.03973969,-0.039262168,-1.687056,-3.8494997,-3.1636658,0.8627,1.4620953
4998,0.093415946,0.03967031,-0.03923189,-1.6911604,-3.8274195,-3.1639814,0.8507449,1.4628211
4999,0.09353804,0.039566495,-0.039241463,-1.689532,-3.825949,-3.1754005,0.832107,1.4433602
5000,0.09349787,0.039445158,-0.039269503,-1.6979411,-3.8169904,-3.1885881,0.826511,1.4331325
5001,0.09367868,0.039439607,-0.03931771,-1.6930697,-3.8303347,-3.2134964,0.8292275,1.444199
5002,0.09349392,0.03945096,-0.03931506,-1.6902738,-3.8448765,-3.2391315,0.8135926,1.4384204
5003,0.09351508,0.03953699,-0.039422918,-1.7002875,-3.8639817,-3.2435784,0.7836291,1.4276408
5004,0.09355886,0.03938636,-0.03940017,-1.7009197,-3.8802567,-3.237696,0.77523875,1.429379
5005,0.09354176,0.03930831,-0.039237216,-1.7066951,-3.8917527,-3.2493744,0.7810716,1.4349821
5006,0.09347618,0.03932383,-0.039472654,-1.6935716,-3.9083724,-3.214713,0.78406566,1.4374287
5007,0.093619294,0.039217293,-0.039337914,-1.6946385,-3.9047403,-3.2091248,0.7804863,1.4152273
5008,0.09360516,0.039119527,-0.039280154,-1.7040669,-3.904264,-3.2155545,0.78094745,1.4205234
5009,0.09349025,0.03917563,-0.039371356,-1.7161785,-3.8891258,-3.2118442,0.79216605,1.4209796
5010,0.09349984,0.03922064,-0.03936314,-1.7244699,-3.8838072,-3.2138329,0.81523126,1.4283282
5011,0.09347681,0.039209504,-0.039385565,-1.7131821,-3.8781917,-3.222642,0.8291681,1.4470264
5012,0.093653515,0.039114997,-0.039537966,-1.7013698,-3.8584955,-3.2032368,0.83233935,1.4476995
5013,0.09353651,0.039210536,-0.03933996,-1.7017566,-3.8674755,-3.1978528,0.827253,1.4211537
5014,0.09349572,0.039319187,-0.039625254,-1.6927074,-3.869269,-3.191093,0.8363817,1.4182875
5015,0.09348344,0.039321028,-0.039664175,-1.6961654,-3.8771882,-3.2004292,0.8380124,1.4206254
5016,0.093502335,0.03929357,-0.039722543,-1.711292,-3.8714573,-3.1843383,0.84553385,1.4163307
5017,0.09353909,0.03929776,-0.03965449,-1.7068348,-3.8594656,-3.183054,0.8471603,1.4206514
5018,0.09340327,0.039332367,-0.03971942,-1.6970756,-3.8411567,-3.1836097,0.836173,1.4162153
5019,0.093544126,0.039262637,-0.03981514,-1.6793154,-3.8406696,-3.1766543,0.8254811,1.418362
5020,0.093443,0.03923086,-0.039756037,-1.6967418,-3.8299983,-3.2002876,0.8254891,1.416225
5021,0.093454756,0.03927038,-0.0398388,-1.6817925,-3.845543,-3.2053568,0.82567906,1.4289801
5022,0.093541324,0.039276596,-0.039781164,-1.6781967,-3.849549,-3.1925364,0.82117784,1.4117256
5023,0.093390286,0.039283577,-0.039507825,-1.6816815,-3.8569236,-3.2141364,0.80592465,1.4036621
5024,0.093367726,0.03944749,-0.039589893,-1.6862594,-3.848147,-3.209545,0.8086133,1.413192
5025,0.09336869,0.0394257,-0.03947837,-1.6990948,-3.8479729,-3.2168992,0.8053584,1.4077773
5026,0.0932202,0.039554987,-0.03941379,-1.7113293,-3.8530917,-3.2038364,0.80717516,1.4168849
5027,0.09336947,0.03955672,-0.039562818,-1.7000691,-3.867101,-3.2138302,0.7926849,1.4101887
5028,0.0934048,0.0395087,-0.03959407,-1.7016634,-3.875942,-3.2245867,0.8038915,1.4106739
5029,0.09347164,0.039472044,-0.0394722,-1.6942314,-3.8619719,-3.2448046,0.8135037,1.4109737
5030,0.0933418,0.039643995,-0.039521743,-1.6912223,-3.8611984,-3.252935,0.8109798,1.4153323
5031,0.09328155,0.039579224,-0.03939505,-1.6944071,-3.860385,-3.2330902,0.7947638,1.4267673
5032,0.093166016,0.03965507,-0.03956283,-1.7163234,-3.8720272,-3.2188175,0.78712666,1.4330392
5033,0.09304224,0.03978877,-0.039590485,-1.7072932,-3.8752165,-3.2202451,0.7834473,1.4190525
5034,0.09297762,0.039830837,-0.039640058,-1.7165313,-3.8733993,-3.2337644,0.7809402,1.4226708
5035,0.09300582,0.039898034,-0.039637566,-1.7036211,-3.8789513,-3.2168443,0.7701582,1.4174237
5036,0.0931103,0.040058933,-0.039440487,-1.7061117,-3.8637893,-3.2353754,0.76461405,1.397029
5037,0.09293099,0.040156823,-0.039418906,-1.7082795,-3.8506787,-3.2594998,0.7537421,1.3778517
5038,0.09316438,0.040088452,-0.039542228,-1.7135912,-3.8432357,-3.2486932,0.7602584,1.3886681
5039,0.09327312,0.040211137,-0.039464917,-1.7124296,-3.8335643,-3.249876,0.7553951,1.3770443
5040,0.093189985,0.039977316,-0.039448522,-1.6999801,-3.8368945,-3.2443483,0.7482483,1.3843815
5041,0.093127474,0.039946157,-0.039453372,-1.7042769,-3.8438957,-3.2421055,0.7615405,1.389777
5042,0.093216926,0.039802395,-0.039472092,-1.7329023,-3.8150284,-3.2493272,0.7704449,1.3703188
5043,0.09310093,0.039805483,-0.039542165,-1.7429379,-3.816117,-3.2316763,0.7721578,1.3599263
5044,0.09299902,0.039686695,-0.039671104,-1.7484369,-3.8283315,-3.2305133,0.77001977,1.3344455
5045,0.09310275,0.03978968,-0.039650787,-1.7457383,-3.8243809,-3.2212443,0.77401567,1.3233118
5046,0.09304285,0.039815217,-0.03960535,-1.7262504,-3.8445065,-3.2243228,0.76378274,1.313359
5047,0.093195915,0.039698083,-0.039572578,-1.7337528,-3.8465297,-3.2304466,0.75603956,1.3286568
5048,0.093239225,0.03974961,-0.039528985,-1.7464321,-3.8450909,-3.2237868,0.73751336,1.3182044
5049,0.09325671,0.03964773,-0.039524693,-1.7303077,-3.842827,-3.2288828,0.7408942,1.3307269
5050,0.09323629,0.039743125,-0.039470352,-1.7235172,-3.840225,-3.2065225,0.75159687,1.3343018
5051,0.09317843,0.039660756,-0.03947477,-1.7204243,-3.8504362,-3.2170577,0.7627799,1.3387065
5052,0.09313349,0.039528936,-0.03946196,-1.7306585,-3.8616462,-3.2097752,0.7413136,1.3270369
5053,0.0930574,0.03953649,-0.039399836,-1.7361916,-3.866418,-3.2277806,0.7361192,1.3378296
5054,0.09318731,0.03959331,-0.0394484,-1.7218385,-3.8554735,-3.2325156,0.7373308,1.3335793
5055,0.09340022,0.039476234,-0.03945087,-1.7238029,-3.855358,-3.2181022,0.7465786,1.3226401
5056,0.09329096,0.03941517,-0.03956065,-1.7236911,-3.8601482,-3.2190096,0.73029834,1.34353
5057,0.09326407,0.0394811,-0.0396771,-1.7207541,-3.8705883,-3.2311432,0.7409783,1.3687555
5058,0.093227945,0.039406233,-0.03971947,-1.7202079,-3.8643143,-3.2400086,0.734604,1.3709009
5059,0.09309158,0.039437264,-0.03976639,-1.7048564,-3.8567772,-3.2271616,0.74370235,1.3810109
5060,0.09318596,0.03958425,-0.03973253,-1.7199286,-3.853293,-3.2401352,0.73554415,1.3740268
5061,0.0932777,0.039538547,-0.039796732,-1.7125878,-3.844698,-3.2389758,0.73470163,1.3872526
5062,0.093329884,0.0395384,-0.0398531,-1.7199291,-3.8432033,-3.241857,0.7353536,1.387435
5063,0.09331014,0.039356764,-0.03971631,-1.7126526,-3.834856,-3.2370298,0.7351806,1.3919783
5064,0.0933013,0.039478373,-0.03980255,-1.7242843,-3.8403335,-3.264245,0.71551114,1.3742329
5065,0.093451604,0.039640155,-0.039697636,-1.7337319,-3.8290164,-3.2654533,0.72035074,1.3755648
5066,0.0933449,0.039677225,-0.039718654,-1.7363528,-3.8385568,-3.244296,0.6971098,1.3932945
5067,0.09336885,0.039792754,-0.039598335,-1.7564296,-3.843503,-3.2395277,0.7024119,1.3679613
5068,0.09317852,0.039803736,-0.03967207,-1.7614293,-3.862748,-3.240231,0.70055413,1.380436
5069,0.093409896,0.03972308,-0.03952933,-1.7717215,-3.868679,-3.2428205,0.699003,1.3929857
5070,0.09344491,0.039729085,-0.03944752,-1.7753608,-3.8742123,-3.2563133,0.7134686,1.3883827
5071,0.093433924,0.0398572,-0.039465394,-1.7909628,-3.8846765,-3.249047,0.70604676,1.3876939
5072,0.093249895,0.03987757,-0.03942778,-1.7934302,-3.8732004,-3.2515492,0.7176646,1.3842179
5073,0.09334608,0.03966553,-0.039562356,-1.7862877,-3.8898022,-3.2568424,0.71920925,1.3965802
5074,0.093429886,0.03970524,-0.039446805,-1.7737354,-3.8912888,-3.2491105,0.7061517,1.3910005
