test
Iter,alpha,theta,kappa,log(sigma_z),log(lambda),mu_x,log(sigma_x),log(mu_z)
173,0.08249018,0.020940915,-0.028538516,-2.0609384,-4.8116174,-3.003728,0.88752544,0.47903514
174,0.08243814,0.021052852,-0.0284705,-2.051656,-4.816298,-2.9879158,0.9126287,0.48955917
175,0.08245448,0.020979743,-0.028473806,-2.0435069,-4.8266606,-2.9931014,0.9203812,0.48378378
176,0.08238435,0.0211283,-0.028468417,-2.044546,-4.8172264,-2.9819741,0.9330838,0.4771238
177,0.08227521,0.021074424,-0.028331771,-2.052862,-4.822743,-3.0028563,0.9300617,0.49227828
178,0.08254014,0.021007733,-0.028208803,-2.0696812,-4.8307195,-3.0036118,0.9331888,0.5010232
179,0.08258146,0.021098828,-0.028412135,-2.0662704,-4.8206997,-3.0054936,0.934183,0.5148247
180,0.08265296,0.020881327,-0.028316224,-2.0846875,-4.8226633,-3.010167,0.92240757,0.5197536
181,0.082778834,0.020846298,-0.028579604,-2.0825884,-4.8375497,-3.0063474,0.927298,0.51038235
182,0.08280897,0.02078399,-0.028569158,-2.083515,-4.8355503,-2.9992566,0.92759067,0.50708133
183,0.0827299,0.020734025,-0.02866911,-2.088253,-4.841538,-3.0026581,0.92831796,0.49219525
184,0.08276266,0.020590646,-0.028539414,-2.0820568,-4.826254,-3.0098152,0.92336965,0.5005333
185,0.08287273,0.020747563,-0.028555159,-2.0808885,-4.835475,-3.0044267,0.9167545,0.48843253
186,0.08290213,0.020611925,-0.028558718,-2.085796,-4.84063,-2.9855025,0.91443384,0.48190254
187,0.0828494,0.020401977,-0.02854393,-2.1009417,-4.835464,-2.9938602,0.9052406,0.47630972
188,0.082816504,0.020195188,-0.028542807,-2.1119182,-4.8328457,-2.9854054,0.9085158,0.45575416
189,0.08297172,0.020133534,-0.028623069,-2.1154604,-4.809402,-2.9932394,0.87299216,0.4500242
190,0.08301363,0.020053878,-0.028475214,-2.0972874,-4.79558,-2.978183,0.875337,0.4306109
191,0.08291794,0.020100238,-0.028564788,-2.0882137,-4.7931037,-2.9692264,0.8690849,0.42861515
192,0.08301982,0.01996118,-0.028506672,-2.0742035,-4.776071,-2.9698577,0.864528,0.4288601
193,0.082916096,0.019862397,-0.028503118,-2.0817027,-4.7672453,-2.9726684,0.8724425,0.4447103
194,0.083037585,0.019892925,-0.028641088,-2.079709,-4.7584357,-3.00364,0.8712235,0.4562033
195,0.083172046,0.019828038,-0.028655851,-2.0764797,-4.741915,-2.9931357,0.87921053,0.46670625
196,0.082989074,0.019762829,-0.028498994,-2.0712523,-4.7474103,-2.9996905,0.86145383,0.47162205
197,0.083080195,0.01958211,-0.028752908,-2.0594852,-4.753658,-3.0136752,0.855632,0.4711709
198,0.0830001,0.019756095,-0.028764782,-2.0449657,-4.758694,-3.0104365,0.8634655,0.45427033
199,0.0831246,0.019767066,-0.028751556,-2.0461035,-4.746221,-3.0260818,0.86329967,0.46985847
200,0.083214976,0.019785985,-0.028596474,-2.0410163,-4.7398615,-3.033522,0.8640928,0.47607052
201,0.083441705,0.019659508,-0.028501824,-2.0522623,-4.730584,-3.034486,0.87380177,0.48475716
202,0.083459094,0.019529093,-0.028622165,-2.0331879,-4.747817,-3.0348969,0.87181526,0.47430557
203,0.08346145,0.019464333,-0.028630462,-2.0384037,-4.7298164,-3.0418994,0.88334894,0.47632417
204,0.0833679,0.019352617,-0.028561797,-2.0191486,-4.725099,-3.0385942,0.8987477,0.4774199
205,0.08344286,0.019216377,-0.028519064,-2.027207,-4.7230287,-3.029197,0.8886511,0.49443778
206,0.08336031,0.01933213,-0.028479964,-2.017474,-4.742008,-3.0456326,0.873124,0.49595726
207,0.08338771,0.019335873,-0.028699426,-2.0078557,-4.7393084,-3.050548,0.88587236,0.4952479
208,0.08342914,0.01926781,-0.0285576,-2.0139897,-4.732412,-3.0315747,0.8660124,0.4984324
209,0.08357844,0.019363621,-0.028542899,-1.9917958,-4.7275023,-3.0390093,0.85983855,0.5097451
210,0.0835748,0.019394228,-0.02855941,-2.0061338,-4.7166657,-3.0402539,0.8506786,0.5304732
211,0.08366402,0.0193942,-0.0285085,-2.016212,-4.707349,-3.0229042,0.86761934,0.54468954
212,0.0836138,0.019407753,-0.028592251,-2.025804,-4.7196097,-3.0355265,0.85721445,0.55135614
213,0.083582416,0.019293875,-0.02833222,-2.031635,-4.7108116,-3.0403423,0.8463183,0.55433935
214,0.08344348,0.0192443,-0.028380362,-2.039957,-4.7021728,-3.027338,0.84542066,0.55520993
215,0.083460875,0.01935756,-0.028335512,-2.0505369,-4.707428,-3.034019,0.83425754,0.55527073
216,0.083510235,0.019395247,-0.028403217,-2.0403285,-4.7167053,-3.021708,0.8292206,0.5488214
217,0.083327085,0.019500555,-0.028392646,-2.0317526,-4.7250013,-3.0195906,0.8300895,0.5653919
218,0.083273396,0.019516,-0.028622815,-2.034447,-4.7353873,-3.019366,0.81668687,0.5615022
219,0.08333071,0.019580578,-0.028620861,-2.0558498,-4.72416,-3.0092707,0.81160545,0.5572754
220,0.08333245,0.019546548,-0.028506503,-2.0404012,-4.722514,-2.9946089,0.82630235,0.56614923
